ブロックサイズ, 2, 4, 8, 16, 32, 64
block 64, 4.1084, 3.8584, 3.3086, 2.4150, 2.4990, 4.0967
block_unrolling 64, 2.9629, 2.4395, 2.6445, 2.5557, 2.4561, 4.9424
block 128, 6.1125, 3.2478, 2.6147, 2.8015, 4.1274, 10.0164
block_unrolling 128, 6.0620, 3.0823, 2.7327, 2.8904, 5.1113, 10.6514
block 256, 15.7695, 5.2929, 3.9171, 4.6636, 10.0692, 10.0217
block_unrolling 256, 15.6693, 5.2603, 3.9919, 5.4200, 11.4777, 11.0710
block 512, 16.6616, 6.4095, 6.9249, 11.7024, 10.9326, 12.0502
block_unrolling 512, 15.8304, 6.3958, 6.8428, 13.3825, 12.1981, 13.0464
block 1024, 17.5021, 7.3692, 7.6397, 14.9115, 12.9913, 13.0492
block_unrolling 1024, 17.1035, 7.3156, 7.5400, 16.0693, 14.3779, 13.8228
block 2048, 17.6160, 7.9661, 8.0820, 15.8722, 13.5845, 12.9703
block_unrolling 2048, 17.3221, 8.0634, 7.9556, 17.1310, 14.1871, 13.7683
block 4096, 18.0155, 8.4569, 8.6095, 16.2550, 13.4443, 13.1131
block_unrolling 4096, 17.7327, 8.7047, 8.6670, 17.8368, 14.3525, 13.8264
